"name","screen_name","text","polarity","subjectivity","label"
"♚किंग ओनीयन♚","The_KingOnion","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Sauce","BotSaucin","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Sagar Lohatkar","Sagar_23oct","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"rushali","rushalisehgal","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Thee Mademoiselle ♔","TheeMlle","Just witnessed my first demonetization 😫😫😫. WTF","-0.13","0.67","NEGATIVE"
"Christopher Danvers","kingofpayments","RT @CardFlash: Indian Diaspora Prepaid Cards Lead Government Demonetization Mandate https://t.co/i1YbPXTdh4 #payments https://t.co/wUO774x1…","0.00","0.00","NEGATIVE"
"A N U P R I Y A","aaanupriyaaa","Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poor!

#Snapchat","-0.06","0.68","NEGATIVE"
"Arch Dornan","_archdornan_","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"Meena","mgrg7","RT @GreatGameIndia: .@ashwani_mahajan @s_navroop @WG_Burton @AnkitLal Exclusive research on the global #WarOnCash #Demonetization and #Cash…","0.00","0.00","NEGATIVE"
"AARYAN 😋 FAN DAY","real_srkian","RT @SaifWoww: America's MOAB killed 36 people   ...India's Demonetization 150 
India &gt;&gt;&gt;&gt;&gt;America","-0.20","0.00","NEGATIVE"
"Jeremiah Simpson","EnwroughtDreams","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"Brad","Brad_D80","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"🚩🔯=D=राजपूत=S=🔯🚩","_DSRajput","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"Prince of All Satans","PenitusVox","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"Shaun Tucker","ShaunTucker44","If you don't understand all this Advertiser Boycott/YouTube Demonetization that's going on, I just posted a video explaining it...","0.00","0.00","NEGATIVE"
"Rushabh Doshi","RushabhJD","RT @mkatju: people have got stunts like, Swachata Diwas,Yoga Day, Demonetization,anti-Romeo drives,gau rakshaks,etc.
Yet de have voted for…","0.00","0.00","NEGATIVE"
"Gyan Srivastava","Gyan198","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"Rawat Singh Tomar","tomarrawat","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"Amitesh Kumar","AmiteshK01","3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in Hawala trade","0.00","0.00","NEGATIVE"
"Amresh 🅰️️🅰️️🅿️️","amreshkr612","@aLadyDon @drjatinanand @SwetaSinghAT video is real !! this comes very beginning of Demonetization she and Tihari c… https://t.co/1rG6Cs28AH","0.26","0.30","POSITIVE"
"TS//SI//NOFORN//LOL","MKUltraSperg","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"Yash Dave","yashdave30","If government treasury increased at the time of demonetization, then idiots like CEO of Snapchat wouldn't have used such words. #Snapchat","-0.40","0.65","NEGATIVE"
"Democracy in Asia","PuravaPakash","RT @MilanV: JP Morgan notes that economic data has begun to revert to mean, post-demonetization https://t.co/rLr6wGdeaa","-0.06","0.44","NEGATIVE"
"Pradeep Tripathi","ptripps","RT @ptripps: @DrKumarVishwas This is really a concern. Like demonetization, a daring step taken on 8th Nov, would urge Hon PM to announce a…","0.20","0.20","POSITIVE"
"Dinesh thalapathy","Dine4vj","RT @fidonomics: Current best is #Pichaikaran  .. Hope everyone remembers those #Demonetization effect promos","0.50","0.35","POSITIVE"
"isabella","isabell08481837","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"Pradeep Tripathi","ptripps","@DrKumarVishwas This is really a concern. Like demonetization, a daring step taken on 8th Nov, would urge Hon PM to… https://t.co/zkmSttyjw0","0.20","0.20","POSITIVE"
"SAIF SAIF SAIF","SaifiansCaptain","RT @SaifWoww: America's MOAB killed 36 people   ...India's Demonetization 150 
India &gt;&gt;&gt;&gt;&gt;America","-0.20","0.00","NEGATIVE"
"CardFlash News","CardFlash","Indian Diaspora Prepaid Cards Lead Government Demonetization Mandate https://t.co/i1YbPXTdh4 #payments https://t.co/wUO774x1Aq","0.00","0.00","NEGATIVE"
"Leah","leahcy6","RT @inNatGeo: See how demonetization boosted economy for digitization yet perturbed many citizens, on India Remonetized premiering 20th Apr…","0.25","0.25","POSITIVE"
"Ashok Shetty","savidhyashok","@sardesairajdeep And we were told Demonetization has neutralized all the Black Money in Politics.
Then are this ele… https://t.co/haL54r3g73","-0.17","0.43","NEGATIVE"
